authour,category,date,push,title,url
u9912114,3,10/03,11,音樂   RICH   BRIAN     CHUNG   HA     THESE   NIGHTS,/bbs/Hip-Hop/M.1570094953.A.02E.html
bigalow,3, 9/18,7,音樂   黑珍珠     蜜妞 Miko   Ft   Mc   hotdog 熱狗,/bbs/Hip-Hop/M.1568808577.A.082.html
MrNoproblem,3, 9/19,6,音樂   PG   One   Say   Goodbye,/bbs/Hip-Hop/M.1568852075.A.1E9.html
sbisbi743,6, 9/19,12,問題   高雄 哪間 KTV 有 脫罪,/bbs/Hip-Hop/M.1568871737.A.225.html
DADAO90,3, 9/13,9,音樂   Mac   Miller 中秋 特輯,/bbs/Hip-Hop/M.1568374201.A.61A.html
aaronsteven,7, 9/13,2,創作   老學校 BoomBap 回來 了 迷彩 酷 CamoCool,/bbs/Hip-Hop/M.1568376839.A.77B.html
nayeonmywife,9, 9/13,5,趣味   異鄉 人     i   Go,/bbs/Hip-Hop/M.1568379269.A.F35.html
u10400068,3, 9/13,爆,音樂   屁孩 ryan   死 屁孩   Fxxkboy,/bbs/Hip-Hop/M.1568387462.A.CE7.html
subsonic,3, 9/09,17,音樂   西奧     YALASUO,/bbs/Hip-Hop/M.1568033469.A.984.html
wang82790,3, 9/09,7,音樂   臺 師大嘻研 NTNU   Hiphop   Cypher     初師表,/bbs/Hip-Hop/M.1568040235.A.86B.html
yji3vu4gj4,10, 9/10,6,Re   音樂   大支 高舉 拳頭,/bbs/Hip-Hop/M.1568049939.A.261.html
tecofilmlove,10, 9/10,21,Re   討論   有 拍 電影 的 饒 舌 歌手 嗎,/bbs/Hip-Hop/M.1568081915.A.D23.html
lanpapa,5, 9/10,11,討論   給我 銀子   給我子彈,/bbs/Hip-Hop/M.1568081972.A.3D0.html
yang0405,3, 9/10,33,音樂   肖恩 恩   黃 旭   潘瑋柏愛 你 3000,/bbs/Hip-Hop/M.1568095271.A.1DB.html
zxc31078001,3, 9/06,16,音樂   GAI   中國 萬歲,/bbs/Hip-Hop/M.1567707324.A.A01.html
godgarbage,5, 9/06,5,討論   beats   maker 徵求 合作,/bbs/Hip-Hop/M.1567730982.A.E89.html
owliper,5, 9/06,16,討論   nicki   minaj 退休,/bbs/Hip-Hop/M.1567737631.A.D5D.html
sgtpepper,5, 9/06,3,討論   飛輪海 不 死 之 謎   算 屌 歌 嗎,/bbs/Hip-Hop/M.1567744429.A.1F8.html
abc1212050,3, 9/06,16,音樂   Post   Malone     Hollywoods   Bleeding,/bbs/Hip-Hop/M.1567749265.A.2A9.html
yang0405,3, 9/06,X1,音樂   王源 不用 去 猜,/bbs/Hip-Hop/M.1567751976.A.2C2.html
HaiTurtle,5, 9/02,9,討論   國蛋   IG,/bbs/Hip-Hop/M.1567406257.A.AC7.html
hiimlove,10, 9/02,9,Re   問題   有 沒 有 罵 前女友 的 走心 饒 舌,/bbs/Hip-Hop/M.1567407843.A.055.html
yihjong,3, 9/19,4,音樂   明爭 暗鬥 ice   paper   Ft 福克斯 bigyear,/bbs/Hip-Hop/M.1568888827.A.37A.html
abc1212050,3, 9/19,4,音樂   Lil   Wayne     Shoot   Me   Down,/bbs/Hip-Hop/M.1568897121.A.40D.html
zdcgbjml,11, 9/14,5,Wingdow     Cause   I   Official   audio,/bbs/Hip-Hop/M.1568467737.A.B46.html
yahoo168,7, 9/15,1,創作   CSI     臭皮匠,/bbs/Hip-Hop/M.1568480960.A.419.html
sodoublery66,7, 9/15,3,創作   Gee   66       Ashes   個 人 創作 的 emo,/bbs/Hip-Hop/M.1568522478.A.B20.html
bbsbbbbsbb,3, 9/15,18,音樂   真正 韓流 CHILL 之 最     Colde     Control   Me,/bbs/Hip-Hop/M.1568551596.A.B7E.html
lydiasul,3, 9/10,1,音樂   溫水 低端 麥克   ft   太空 沙拉,/bbs/Hip-Hop/M.1568097042.A.C78.html
bbsbbbbsbb,3, 9/10,3,音樂   Caleborate     Hear   Me   Out   光哥 貼 音樂,/bbs/Hip-Hop/M.1568110572.A.FA7.html
KarlMarx,3, 9/10,8,音樂   西奧 Sio     風雨,/bbs/Hip-Hop/M.1568131111.A.7DF.html
sgtpepper,3, 9/06,2,音樂   Danny   Brown     Dirty   Laundry,/bbs/Hip-Hop/M.1567755047.A.989.html
whoAU,9, 9/06,57,趣味   如何 評價 楊 和 蘇 影片,/bbs/Hip-Hop/M.1567766525.A.66A.html
nayeonmywife,10, 9/06,18,Re   討論   飛輪海 不 死 之 謎   算 屌 歌 嗎,/bbs/Hip-Hop/M.1567773699.A.E73.html
KarlMarx,3, 9/06,24,音樂   CBLOCK     孤獨症,/bbs/Hip-Hop/M.1567777938.A.DD2.html
KarlMarx,3, 9/06,2,音樂   Lizzo     Truth   Hurts,/bbs/Hip-Hop/M.1567783215.A.DC8.html
h2030625,5, 9/02,13,討論   這季 是不是 單挑太多 了,/bbs/Hip-Hop/M.1567412953.A.4A2.html
MF3HD,3, 9/02,6,音樂   stu   sis   九月份 推薦 歌曲 認 真的  ,/bbs/Hip-Hop/M.1567422229.A.DDD.html
foam0406,5, 9/02,27,討論   看到 不 認識 的 同事 放著 你 的 愛歌會 興奮 嗎,/bbs/Hip-Hop/M.1567437909.A.3C4.html
MF3HD,3, 9/03,14,音樂   D   Rebound   99   九月份 饒舌 歌曲 推薦,/bbs/Hip-Hop/M.1567503491.A.F47.html
c8c96387,5, 9/03,38,討論   Barry 被 簽進華納,/bbs/Hip-Hop/M.1567506478.A.C00.html
tnfsh11287,8, 9/03,2,新聞   里 拉德 11 日旋風 訪台     揪 饒 舌 歌手 同台 較勁,/bbs/Hip-Hop/M.1567512014.A.DE0.html
hy654,3, 9/03,14,音樂   Simon   DominicGOTT,/bbs/Hip-Hop/M.1567512894.A.5E1.html
simon0987,5, 9/01,50,討論   新 說 唱 2   最大 的 收 穫,/bbs/Hip-Hop/M.1567275274.A.CB4.html
simon0987,6, 9/01,43,問題   福克斯 為 什麼 這麼紅,/bbs/Hip-Hop/M.1567275731.A.6F8.html
baseballl,5, 9/01,57,討論   為何 蘆洲 三 重新 莊 沒 生出 rap 群體,/bbs/Hip-Hop/M.1567292480.A.344.html
laygoyolo,3, 9/01,5,音樂   EARTHGANG     UP,/bbs/Hip-Hop/M.1567309783.A.CA0.html
KarlMarx,3, 9/06,14,音樂   Lil   Nas   X     Panini   Official   Video,/bbs/Hip-Hop/M.1567783619.A.545.html
howdie824,3, 9/07,7,音樂   to9 都市病,/bbs/Hip-Hop/M.1567829810.A.B8C.html
hy654,5, 9/07,26,討論   SMTM8 第七集   DISS 戰,/bbs/Hip-Hop/M.1567869940.A.DE9.html
subsonic,10, 9/03,10,Re   討論   本季 最尬 押 的 一段 verse,/bbs/Hip-Hop/M.1567512962.A.C10.html
subsonic,2, 9/03,12,知識   法老 我 是 一個 硬核 的 說 唱歌 手,/bbs/Hip-Hop/M.1567516682.A.84F.html
Lazi,3, 9/03,9,音樂   Freestyle   on   my   beats,/bbs/Hip-Hop/M.1567519676.A.AD6.html
tree717,3, 9/04,爆,音樂   大支 高舉 拳頭,/bbs/Hip-Hop/M.1567532392.A.210.html
nayeonmywife,3, 9/04,3,音樂   BHAD   BHABIE     Hi   Bich     Whachu   Know,/bbs/Hip-Hop/M.1567569141.A.A41.html
OPPAISuki,3, 9/01,11,音樂   艾熱王 以太 Dough   Boy 法老 四面楚歌,/bbs/Hip-Hop/M.1567324667.A.212.html
KarlMarx,3, 9/01,12,音樂   RPG     好南   Go   South  ,/bbs/Hip-Hop/M.1567332734.A.8C3.html
windmars13,6, 9/01,10,問題   中國 新 說 唱   一名 參賽 選手,/bbs/Hip-Hop/M.1567338002.A.B87.html
Capufish,3, 9/01,23,音樂   新秀 冠軍賽 沒唱 的 兩首,/bbs/Hip-Hop/M.1567340030.A.DA5.html
henryhuang17,0, 8/30,爆,公告   中國 新 說 唱 2019   第十二 集   集中 討論 串,/bbs/Hip-Hop/M.1567158051.A.C91.html
eason7777,3, 9/08,24,音樂   Marz23   我 不是 饒舌 歌手 Not   A   Rapper,/bbs/Hip-Hop/M.1567872171.A.E5F.html
eo4x,10, 9/04,14,Re   討論   劉聰會 不會 太硬氣 了,/bbs/Hip-Hop/M.1567571081.A.0D4.html
yellowjay,5, 9/04,爆,討論   3 季下 來 TOP3   song,/bbs/Hip-Hop/M.1567574284.A.198.html
ig49999,5, 9/04,X3,討論   西奧 劉聰 484 真的 很 過譽,/bbs/Hip-Hop/M.1567576854.A.D2D.html
sclbtlove,3, 9/04,2,音樂   顏冠希 JY 魔神 仔現場 live 版本,/bbs/Hip-Hop/M.1567578291.A.3A6.html
sunmezz,6, 9/01,13,問題   SMTM8   的 分組 是否 實力 不 平均,/bbs/Hip-Hop/M.1567340712.A.354.html
Ian881219,3, 9/01,3,音樂   The   North   Face   X 夜貓 組,/bbs/Hip-Hop/M.1567345932.A.728.html
pttfaywu,5, 9/01,17,討論   饒舌   說 唱   都 幾,/bbs/Hip-Hop/M.1567346033.A.AAC.html
foam0406,6, 9/01,66,問題   有 沒 有 罵 前女友 的 走心 饒 舌,/bbs/Hip-Hop/M.1567353174.A.603.html
jack0805449,10, 8/30,2,Re   音樂   高爾宣   OSN     最 後 一次,/bbs/Hip-Hop/M.1567159402.A.2F4.html
changeone,7, 8/30,2,創作   Believer,/bbs/Hip-Hop/M.1567165435.A.8DA.html
Tim203321,10, 8/30,6,Re   音樂   高爾宣   OSN     最 後 一次,/bbs/Hip-Hop/M.1567174485.A.54A.html
KarlMarx,5, 8/31,33,討論   中國 新 說 唱 2019   EP12   Final,/bbs/Hip-Hop/M.1567180884.A.9AC.html
Luvsic,3, 8/31,7,音樂   Common     Let   Love,/bbs/Hip-Hop/M.1567181005.A.E5B.html
dillydilly,3, 8/31,1,音樂   Post   MaloneCircles,/bbs/Hip-Hop/M.1567181657.A.402.html
gp03dan,3, 8/27,4,音樂   Common     HER   Love   ft   Daniel   Caesar,/bbs/Hip-Hop/M.1566919934.A.A50.html
s9001111,5, 8/28,20,討論   迪拉 IG,/bbs/Hip-Hop/M.1566922401.A.BB4.html
ti25,5, 8/28,42,討論   你 願 意花 錢 的 嘻 哈 表演,/bbs/Hip-Hop/M.1566935877.A.BF1.html
Tim203321,9, 8/28,8,趣味   k   dot 粉絲 能否 分辨 他 的 聲音,/bbs/Hip-Hop/M.1566982296.A.649.html
abc4631023,7, 9/04,1,創作   BO     For   Myself,/bbs/Hip-Hop/M.1567600987.A.42B.html
yang0405,5, 9/04,35,討論   周湯豪 跟 屁孩 的 beef   世紀 大 和解,/bbs/Hip-Hop/M.1567602559.A.EDA.html
KarlMarx,10, 9/02,22,Re   問題   有 沒 有 罵 前女友 的 走心 饒 舌,/bbs/Hip-Hop/M.1567357857.A.151.html
sunshine0527,6, 9/02,14,問題   天子 呼來 不 上朝 自稱 臣 是 酒中仙,/bbs/Hip-Hop/M.1567391757.A.E68.html
hahaha0204,5, 9/02,53,討論   Netflix 選秀節 目嘻哈王 1009 開播,/bbs/Hip-Hop/M.1567394298.A.6F5.html
hisaken,5, 8/31,40,討論   四強 的 純度 冠 軍 的 純度,/bbs/Hip-Hop/M.1567184451.A.368.html
lukelu1223,3, 8/31,13,音樂   蛋堡 方大同 寫 一首歌   live,/bbs/Hip-Hop/M.1567184666.A.11B.html
StrawBruce,5, 8/31,61,討論   新秀 的 歷程 中國 新 說 唱 2019,/bbs/Hip-Hop/M.1567192833.A.F95.html
theBATMAN56,5, 8/28,4,討論   Baby   Maccold   mac   on   Spotify  ,/bbs/Hip-Hop/M.1566982695.A.44D.html
balcony5566,4, 8/28,32,活動   顏社 電台   EP3     雙蛋 的 初露 體驗 LIVE,/bbs/Hip-Hop/M.1566994217.A.4A6.html
tony29850135,3, 8/28,15,音樂   DUF     我 殺 了 自己 在 夜晚 Official   Music   Video,/bbs/Hip-Hop/M.1566996942.A.915.html
abc4631023,7, 8/25,2,創作   BO     Hope   You   Remember   Me  ,/bbs/Hip-Hop/M.1566746697.A.430.html
KarlMarx,3, 8/25,5,音樂   Snoop   DoggMain   Phone   ftRick   RockStr,/bbs/Hip-Hop/M.1566748424.A.F91.html
KarlMarx,3, 8/26,7,音樂   Lil   Tjay     FN    ,/bbs/Hip-Hop/M.1566748836.A.E08.html
Luvsic,3, 9/02,1,音樂   Little   Brother     Black   Magic   Make   It  ,/bbs/Hip-Hop/M.1567403666.A.11A.html
foam0406,6, 8/31,6,問題   有人 覺得 福克斯 的 詞 很 像 在 說 教 嗎,/bbs/Hip-Hop/M.1567226938.A.BBC.html
h2030625,5, 8/31,1,討論   楊和蘇   冠軍戰 歌曲 一問,/bbs/Hip-Hop/M.1567237453.A.15E.html
peter1999125,5, 8/31,21,討論   楊和蘇 決賽 唱 最初 的 時候 結果 會 更好 嗎,/bbs/Hip-Hop/M.1567237539.A.6F8.html
subsonic,3, 8/31,22,音樂   活死人 廠牌     Woken   Day 奪冠慶 功曲,/bbs/Hip-Hop/M.1567241214.A.12A.html
abc1212050,3, 8/28,6,音樂   AAP   Rocky     Babushka   Boi,/bbs/Hip-Hop/M.1567001683.A.96E.html
kennyhuang44,3, 8/28,36,音樂   屁孩   Ryan     硬派 陷阱 妹,/bbs/Hip-Hop/M.1567004165.A.759.html
polobolo,3, 8/28,14,音樂   曾 詠翔   一擊 中箭,/bbs/Hip-Hop/M.1567004703.A.203.html
prettybozy,6, 8/26,29,問題   Swings 的 公演 怎麼 被 批 的 那麼慘,/bbs/Hip-Hop/M.1566749080.A.CB0.html
pp771017,5, 8/26,10,討論   新 說 唱 讓 騰訊 辦會 不會 比 較 好,/bbs/Hip-Hop/M.1566757083.A.DF2.html
h2030625,5, 8/26,9,討論   毫無 保留 的 FreeC 才藝 可以 走多遠,/bbs/Hip-Hop/M.1566805491.A.E94.html
howard6066,5, 8/24,12,討論   不留 VOB   留下 CAPPER   好像 有點後悔,/bbs/Hip-Hop/M.1566623659.A.660.html
subsonic,3, 8/24,22,音樂   新秀     街頭 霸王,/bbs/Hip-Hop/M.1566625471.A.0B9.html
nwd4e9cd,5, 8/24,56,討論   大 傻 是不是 合作 表演 比 solo 好 很多,/bbs/Hip-Hop/M.1566626266.A.66B.html
jamiro0000,3, 8/24,3,音樂   Dynamicduo – Blue   Feat   Crush   SOLE,/bbs/Hip-Hop/M.1566628451.A.8DC.html
CaramelLIFE,10, 8/31,44,Re   討論   劉聰會 不會 太硬氣 了,/bbs/Hip-Hop/M.1567255634.A.A34.html
whoAU,10, 8/31,4,Re   音樂   低調 組合 RCH,/bbs/Hip-Hop/M.1567260070.A.53F.html
job5786,5, 8/31,6,討論   本季 最尬 押 的 一段 verse,/bbs/Hip-Hop/M.1567264639.A.B2C.html
BoonBo,3, 9/01,8,音樂   DaBaoWHY   NOT   ME,/bbs/Hip-Hop/M.1567268137.A.BAC.html
filmystery,9, 8/28,X2,趣味   韓導 若 退出 政壇 轉當 饒 舌 歌手 有 搞頭 嗎,/bbs/Hip-Hop/M.1567007440.A.DAE.html
dream21504,3, 8/29,6,音樂   Polo   G   Feat   Lil   Tjay     Pop   Out,/bbs/Hip-Hop/M.1567043942.A.451.html
nayeonmywife,3, 8/29,3,音樂   Patrick     真的 很派,/bbs/Hip-Hop/M.1567081088.A.139.html
iceinmyveins,10, 8/29,34,Re   音樂   CBLOCK 劉聰 KeyL     黃 土 高坡,/bbs/Hip-Hop/M.1567081935.A.87C.html
onioneggss,9, 8/29,5,趣味   人人 有功 練喬智   喬 Trap,/bbs/Hip-Hop/M.1567083275.A.7E4.html
TYisBRoKen,5, 8/26,22,討論   福克斯 算是 開高 走低,/bbs/Hip-Hop/M.1566807267.A.C73.html
eo4x,10, 8/26,25,Re   討論   周杰倫願 意來 新 說 唱 嗎,/bbs/Hip-Hop/M.1566810263.A.0A1.html
bbsbbbbsbb,3, 8/26,2,音樂   Yeek     亞洲 臉 孔道 地 西岸 的 流行 與 嘻 哈,/bbs/Hip-Hop/M.1566812000.A.2FD.html
TYisBRoKen,9, 8/26,9,趣味   Sup   Music 棒球 衣算 抄襲 嗎,/bbs/Hip-Hop/M.1566814363.A.DDC.html
sss950266,3, 8/24,8,音樂   You   name   t   靠北 替代 役 Official   MV,/bbs/Hip-Hop/M.1566629174.A.1B4.html
Luvsic,3, 8/24,8,音樂   Common   on   KCRW,/bbs/Hip-Hop/M.1566638257.A.CFF.html
KarlMarx,3, 8/24,3,音樂   翰弟     Holiday   ft 大邁奎 仔,/bbs/Hip-Hop/M.1566644449.A.B8C.html
taipei5566,10, 8/24,X3,Re   音樂   新秀     街頭 霸王,/bbs/Hip-Hop/M.1566648978.A.BB9.html
RickyLeeeee,9, 8/24,14,趣味   蛋堡 收斂 水     新舊 比 較,/bbs/Hip-Hop/M.1566652267.A.51C.html
yang0405,5, 8/23,12,討論   黃 旭 微博懟 新疆 rapper 後 刪文   有雷,/bbs/Hip-Hop/M.1566528414.A.2C4.html
bigdickjohn,6, 8/23,5,問題   問 一本 書,/bbs/Hip-Hop/M.1566534483.A.E2E.html
MGSnake,10, 8/23,37,Re   討論   中國 新 說 唱 冠軍賽 大 暴雷,/bbs/Hip-Hop/M.1566539556.A.6CF.html
SyunYin,5, 9/01,47,討論   從 金曲 獎回 顧嘻哈饒 舌 的 崛起 上,/bbs/Hip-Hop/M.1567271618.A.AF5.html
hyperbrand00,6, 8/30,17,問題   為 什麼 這季 要 一直 開放 觀眾 投票,/bbs/Hip-Hop/M.1567137568.A.B39.html
t8900614,3, 8/30,2,音樂   PenSoul223   Freestyle     Bandz,/bbs/Hip-Hop/M.1567143660.A.5A1.html
juice074,4, 8/30,5,活動   贈票 831brain   zapp     emotional   con,/bbs/Hip-Hop/M.1567148206.A.BCA.html
dream21504,3, 8/30,2,音樂   Young   Thug     Im   Scared   ft   21   Savage   and   doeboy,/bbs/Hip-Hop/M.1567156618.A.D14.html
foam0406,5, 8/26,4,討論   楊和蘇 跟 福克斯 會 互相 學習 嗎,/bbs/Hip-Hop/M.1566823564.A.644.html
slender123,3, 8/26,12,音樂   婁峻 碩     FIRE   freestyle,/bbs/Hip-Hop/M.1566824095.A.89A.html
subsonic,5, 8/26,59,討論   劉聰會 不會 太硬氣 了,/bbs/Hip-Hop/M.1566825780.A.DD0.html
bassmaster,10, 8/26,21,Re   討論   這 一季 新 說 唱 的 金曲榜 前三名 節目 版本,/bbs/Hip-Hop/M.1566832228.A.ABB.html
y0214max,3, 8/24,X2,音樂   小玉 送給 噁 爛假 掰 人 的 一首歌 俵子,/bbs/Hip-Hop/M.1566653118.A.307.html
ddandelion,6, 8/24,7,問題   顏社 小劇場   拿號 碼牌,/bbs/Hip-Hop/M.1566655108.A.13F.html
tj41233,3, 8/25,8,音樂   Dreamville     Sacrefices   ft   JCole,/bbs/Hip-Hop/M.1566674487.A.9B0.html
joywilliamjo,5, 8/25,29,討論   關於 吳亦凡 說 要 創廠 牌 韓國 饒舌節 目雜 談,/bbs/Hip-Hop/M.1566694593.A.AA0.html
foam0406,5, 8/25,8,討論   回鍋 選手 拿到 四強 能 在 你 心裡 加分 嗎,/bbs/Hip-Hop/M.1566713346.A.648.html
hyperbrand00,10, 8/23,15,Re   討論   霧 都 不 唱 重慶話 會 不會 好 一點,/bbs/Hip-Hop/M.1566553608.A.F32.html
onioneggss,3, 8/23,6,音樂   人人 有功 練 阿雞 GLOJ   青春   ft 蔡佳瑩,/bbs/Hip-Hop/M.1566555260.A.32E.html
KarlMarx,3, 8/23,3,音樂   Missy   Elliott     Throw   It   Back,/bbs/Hip-Hop/M.1566560988.A.E2C.html
henryhuang17,0, 8/23,爆,公告   中國 新 說 唱 2019   第十一 集   集中 討論 串,/bbs/Hip-Hop/M.1566561386.A.7E1.html
sclbtlove,3, 8/23,44,音樂   大支 DwagiePeacefeat 達賴 喇嘛,/bbs/Hip-Hop/M.1566567960.A.3CB.html
h2030625,5, 8/21,41,討論   有 沒 有 第三季 的 遺珠,/bbs/Hip-Hop/M.1566365191.A.A06.html
ff704,3, 8/21,6,音樂   殺人 魔 鼠尾草     龍崎     砍死 法老,/bbs/Hip-Hop/M.1566365890.A.216.html
rock26791606,3, 8/21,21,音樂   Simon   D     make   her   dancefeatLoopyCr,/bbs/Hip-Hop/M.1566379441.A.D65.html
pianoguy91,5, 8/27,24,討論   大 傻 微博公 佈 喜訊,/bbs/Hip-Hop/M.1566835701.A.743.html
Tredy8182,6, 8/27,28,問題   台灣 的   Emo   Rap,/bbs/Hip-Hop/M.1566840452.A.D61.html
fireman666,11, 8/27,2,推薦 一下 自家 的 歌   RoninG  ,/bbs/Hip-Hop/M.1566910313.A.1AC.html
hy654,5, 8/27,43,討論   有 創作 能力 但 現場 偏弱 的 Rapper,/bbs/Hip-Hop/M.1566910796.A.9BE.html
s8901464,7, 8/25,4,創作   假 朋友,/bbs/Hip-Hop/M.1566714368.A.4E4.html
onioneggss,9, 8/25,2,趣味   那陣 風吹來 阿雞 寫 青春,/bbs/Hip-Hop/M.1566721859.A.4AA.html
subsonic,5, 8/25,69,討論   這 一季 新 說 唱 的 金曲榜 前三名 節目 版本,/bbs/Hip-Hop/M.1566725329.A.8A0.html
ig49999,5, 8/25,38,討論   大家 覺得 這季 臉 最 臭 的 是 誰,/bbs/Hip-Hop/M.1566728553.A.DA6.html
eashun,3, 8/23,4,音樂   DJ   Ground     嘻哈是 窮人 在 聽 的   ft   屁孩 Ry,/bbs/Hip-Hop/M.1566570522.A.420.html
chunx2,3, 8/23,66,音樂   莫 宰羊 健康 快樂   MV,/bbs/Hip-Hop/M.1566570621.A.F2D.html
acottonx,10, 8/23,12,Re   討論   黃 旭 微博懟 新疆 rapper 後 刪文   有雷,/bbs/Hip-Hop/M.1566573807.A.E10.html
KarlMarx,5, 8/24,35,討論   中國 新 說 唱 2019   ep11,/bbs/Hip-Hop/M.1566576829.A.005.html
KarlMarx,3, 8/24,38,音樂   CBLOCK 劉聰 KeyL     黃 土 高坡,/bbs/Hip-Hop/M.1566578702.A.D1D.html
leokoyo,5, 8/22,15,討論   市中心 你 的 男孩,/bbs/Hip-Hop/M.1566408213.A.690.html
subsonic,3, 8/22,20,音樂   孫旭     幹嘛 非要 這 麽 說,/bbs/Hip-Hop/M.1566412944.A.662.html
gggger,5, 8/22,74,討論   中國 新 說 唱 冠軍賽 大 暴雷,/bbs/Hip-Hop/M.1566416814.A.F07.html
daniel363732,5, 8/22,11,討論   安靜 的 稻草人 是 神曲 嗎 有 雷,/bbs/Hip-Hop/M.1566437612.A.289.html
nayeonmywife,5, 8/22,12,討論   單論 Nick 的 i   GO 是否 已不輸 21   Savage,/bbs/Hip-Hop/M.1566447136.A.F5B.html
yang0405,5, 8/22,3,討論   健嚴,/bbs/Hip-Hop/M.1566453304.A.D05.html
whoAU,5, 8/19,29,討論   熱狗 ig 預告 要 和 派 克特 CreamD 出歌,/bbs/Hip-Hop/M.1566201706.A.2DD.html
fishsheng,6, 8/19,23,問題   劉聰 的 Hey   kong 其中 兩句,/bbs/Hip-Hop/M.1566206675.A.028.html
yang0405,5, 8/19,23,討論   劉聰 爆料 新 說 唱 是 怎麼 改詞,/bbs/Hip-Hop/M.1566209265.A.1FF.html
bassmaster,5, 8/19,7,討論   終於要 發生 Beef 了 嗎,/bbs/Hip-Hop/M.1566209844.A.F12.html
sgtpepper,6, 8/27,4,問題   為 什麼 MF   DOOM 那麼 愛換 藝名,/bbs/Hip-Hop/M.1566914546.A.CF2.html
CapAmerica,3, 8/25,1,音樂 中毒 Poison     Stay   High,/bbs/Hip-Hop/M.1566740490.A.CD3.html
vcooter,3, 8/25,15,音樂   周杰倫 懦夫,/bbs/Hip-Hop/M.1566744123.A.EC4.html
hisaken,5, 8/24,17,討論   新秀 是不是 進步 的 超明顯,/bbs/Hip-Hop/M.1566612197.A.DB0.html
subsonic,5, 8/24,50,討論   其實 劉炫廷 是不是 真的 強到 誇張,/bbs/Hip-Hop/M.1566612515.A.662.html
shane81004,3, 8/24,7,音樂   黃 右 年   YONIENAsskid   Pink,/bbs/Hip-Hop/M.1566614237.A.A8F.html
dinopeter,10, 8/24,10,Re   討論   新秀 是不是 進步 的 超明顯,/bbs/Hip-Hop/M.1566617338.A.E8E.html
howard6066,5, 8/24,56,討論   中國 有嘻哈 第一 屆 vs 新 說 唱 2   前四強,/bbs/Hip-Hop/M.1566621164.A.C82.html
henryhuang17,3, 8/24,16,音樂   MC   HotDog   熱狗 寂寞 の 水怪,/bbs/Hip-Hop/M.1566621813.A.ABE.html
ruokcnn,3, 8/22,5,音樂     NO   HALO     BROCKHAMPTON,/bbs/Hip-Hop/M.1566456631.A.B3E.html
dale211212,8, 8/22,9,新聞   中職 ／ 金曲 獎 最佳 新人 降臨 桃猿 　 Ø ZI 阿迷,/bbs/Hip-Hop/M.1566456903.A.0B5.html
zaxs1594,7, 8/22,1,創作   代 po   Allen   Liu     first   sight  ,/bbs/Hip-Hop/M.1566462753.A.D4D.html
ashianQQ,1, 8/22,8,分享   台中元氣 唱片 行國蛋   藥罐 USB 上架,/bbs/Hip-Hop/M.1566474766.A.35F.html
subsonic,5, 8/19,X1,討論   大陸 Rapper 的 中文 程度 為 什麼 這麼 高,/bbs/Hip-Hop/M.1566217473.A.F00.html
Mezerized,3, 8/19,14,音樂   大支 Dwagie 達蘭薩拉 dharaml   Teaser,/bbs/Hip-Hop/M.1566222282.A.97A.html
juice074,6, 8/20,爆,問題   野格炸彈,/bbs/Hip-Hop/M.1566236010.A.FB1.html
bassmaster,10, 8/20,7,Re   討論   大陸 Rapper 的 中文 程度 為 什麼 這麼 高文長 警告,/bbs/Hip-Hop/M.1566249151.A.C79.html
i8067,6, 8/20,25,問題   十一年 前中國 的 說 唱 真的 是 長 這樣 嗎,/bbs/Hip-Hop/M.1566268575.A.9FD.html
s26535127,10, 8/18,2,Re   音樂   KHOW 高浩哲     等 著 看 JUST   WATCH   FtBG8,/bbs/Hip-Hop/M.1566063151.A.AC0.html
mingminghuan,3, 8/18,2,音樂   L4Wudu   x   李佳隆     Hair  ,/bbs/Hip-Hop/M.1566063261.A.FFB.html
RickyLeeeee,6, 8/18,6,問題   詢問 幾張 舊 專輯 的 發售 日期,/bbs/Hip-Hop/M.1566063742.A.6B9.html
subsonic,3, 8/18,57,音樂   董寶石 gem     野狼 DISCO,/bbs/Hip-Hop/M.1566097232.A.779.html
pp771017,5, 8/22,4,討論   霧 都 不 唱 重慶話 會 不會 好 一點,/bbs/Hip-Hop/M.1566481163.A.BF0.html
yuxds,3, 8/23,11,音樂   Crispy 脆樂團     Deja   Vu     feat   熊仔  ,/bbs/Hip-Hop/M.1566497194.A.FD5.html
wei821011,3, 8/23,38,音樂   BG8LOCC   aka   蛋頭     Catchallmydrip,/bbs/Hip-Hop/M.1566497527.A.E15.html
chunyau85,3, 8/23,36,音樂   KE 柯蕭饒 舌 機器 Official   M   V,/bbs/Hip-Hop/M.1566500492.A.9A5.html
hisaken,5, 8/20,9,討論   熱狗 ig   第二 彈預告,/bbs/Hip-Hop/M.1566268906.A.EF7.html
nayeonmywife,10, 8/20,13,Re   問題   野格炸彈,/bbs/Hip-Hop/M.1566270196.A.BE0.html
BlackBaoyu,3, 8/20,4,音樂   TYCrewkeep   it   real   桃 園 製 造,/bbs/Hip-Hop/M.1566292234.A.786.html
ucda,10, 8/20,15,Re   討論   劉聰 爆料 新 說 唱 是 怎麼 改詞,/bbs/Hip-Hop/M.1566295958.A.1DE.html
joanzkow,8, 8/18,4,新聞   川崎 自稱 語言 天才   想 出 中文 饒舌 專輯,/bbs/Hip-Hop/M.1566110308.A.185.html
DylanBundy,6, 8/18,27,問題   聽歌 app,/bbs/Hip-Hop/M.1566113458.A.612.html
hifone112,5, 8/18,6,討論   jd 的 聲音 真的 是 很 難 聽    ,/bbs/Hip-Hop/M.1566123735.A.42A.html
